category,question,choice_a,choice_b,choice_c,choice_d,answer,source
"NGN, IMS and SSTP","In BSNL's NGN deployment strategy, what is the focus of the first phase, involving the introduction of IP in Transit network at Level-1 TAX locations?",Migration of Local Exchanges,Class 5 NGN implementation,Class 4 NGN implementation,MPLS core development,C,"pdf3, NGN, IMS AND SSTP (para 115)"
"NGN, IMS and SSTP",What is the purpose of IMS (IP Multimedia System) in the context of mobile networks?,Packet-switched network implementation,Delivering IP multimedia services in a packet-based network,Migration from PSTN to NGN,Standalone Signal Transfer Point functionality,B,"pdf3, NGN, IMS AND SSTP (para 117)"
"NGN, IMS and SSTP",Why is IMS needed for enabling IP services in mobile networks?,To replace circuit-switched networks,To provide flat-rate charging for multimedia sessions,To enable QoS and security for session establishment,To support only voice services,A,"pdf3, NGN, IMS AND SSTP (para 121)"
"NGN, IMS and SSTP","What does IMS stand for, and what is its role in delivering IP multimedia services?",Internet Media Server; media transcoding,IP Multimedia Subsystem; architectural framework for IP multimedia services,Integrated Mobile System; mobile network integration,Intelligent Multimedia Service; multimedia content delivery,B,"pdf3, NGN, IMS AND SSTP (para 123)"
"NGN, IMS and SSTP","According to the 3GPP, what is the intended purpose of IMS in mobile networks?",Standardizing applications,Enabling access of multimedia and voice applications across terminals,Providing horizontal control layer for service independence,Supporting only GPRS networks,B,"pdf3, NGN, IMS AND SSTP (para 126)"
"NGN, IMS and SSTP",What does the IMS architecture separate into three layers?,"Media, Control, and Application","Access, Transport, and Control","Connectivity, Control, and Application","Application, Control, and Connectivity",C,"pdf3, NGN, IMS AND SSTP (para 129)"
"NGN, IMS and SSTP",What is the main function of HSS (Home Subscriber Server) in the IMS architecture?,Compression and decompression of SIP messages,Session management within the IMS network,Storing user data and authentication information,Proxying SIP messages between users and CSCFs,C,"pdf3, NGN, IMS AND SSTP (para 132)"
"NGN, IMS and SSTP",Which IMS node is responsible for session management within the IMS network for the User Equipment (UE)?,I-CSCF (Interrogating Call Session Control Function),P-CSCF (Proxy Call Session Control Function),HSS (Home Subscriber Server),S-CSCF (Serving Call Session Control Function),D,"pdf3, NGN, IMS AND SSTP (para 135)"
"NGN, IMS and SSTP",What is the main function of P-CSCF (Proxy Call Session Control Function) in IMS?,Session management for UE,Forwarding SIP REGISTER requests to HSS,Compression and decompression of SIP messages,Entry point towards the IMS network from access networks,D,"pdf3, NGN, IMS AND SSTP (para 139)"
"NGN, IMS and SSTP","In NGN, what functions are performed by the Media Gateway Control Function (MGCF) and the IM Media Gateway (IM-MGW)?",Session management and media inter-working,Signaling and media inter-working,Session setup and call control,Signaling and packet transport,B,"pdf3, NGN, IMS AND SSTP (para 143)"
"NGN, IMS and SSTP",What is the role of the Breakout Gateway Control Function (BGCF) in NGN?,Signaling and media inter-working,Forwarding session signaling to the appropriate MGCF and BGCF,Selecting the destination PSTN network for a session,Media transport in circuit-switched networks,C,"pdf3, NGN, IMS AND SSTP (para 147)"
"NGN, IMS and SSTP",Why was the introduction of Standalone Signal Transfer Point (SSTP) considered a historic step in telecom networks?,It replaced SS7 with a more efficient protocol.,"It converted mesh networks into star networks, simplifying routing.",It eliminated the need for signaling protocols.,It introduced a new signaling technology.,B,"pdf3, NGN, IMS AND SSTP (para 150)"
"NGN, IMS and SSTP","What issues did SSTP address in telecom networks, leading to its adoption?",Compression and decompression of SIP messages,Increased complexity of direct SS7 links,Handling of multimedia sessions in GSM,Expansion of GSM and CDMA networks,D,"pdf3, NGN, IMS AND SSTP (para 154)"
"NGN, IMS and SSTP",What is the primary advantage of SSTP in telecom networks?,Centralized routing database management,Elimination of SIP protocol complexities,Handling multimedia sessions in CDMA networks,Direct SS7 links between switches,D,"pdf3, NGN, IMS AND SSTP (para 156)"
"NGN, IMS and SSTP",What is the purpose of SSTP in handling signaling traffic for roaming subscribers in other operator service areas?,Measure and account for inter-network traffic,Manage direct SS7 links between switches,Provide compression and decompression of SIP messages,Support standalone voice services,D,"pdf3, NGN, IMS AND SSTP (para 159)"
"NGN, IMS and SSTP",Why was the introduction of SSTP necessary for BSNL's signaling network?,To replace traditional TDM networks,To measure and account for inter-network traffic,To handle only call-related signaling traffic,To support IMS architecture,A,"pdf3, NGN, IMS AND SSTP (para 162)"
"NGN, IMS and SSTP",What is the primary role of SSTP in BSNL's signaling network?,Centralized routing database for multimedia services,Direct SS7 links between switches,Compression and decompression of SIP messages,Handling session setup in CDMA networks,A,"pdf3, NGN, IMS AND SSTP (para 165)"
"NGN, IMS and SSTP",What are the objectives of SSTP deployment in BSNL's network?,Provide compression and decompression of SIP messages,Handle multimedia services for roaming subscribers,Optimal expansion of GSM and CDMA networks,"Regulate, measure, and account for inter-network traffic",C,"pdf3, NGN, IMS AND SSTP (para 168)"
"NGN, IMS and SSTP",What did the implementation of SSTP in BSNL's network achieve in terms of signaling efficiency?,Increased complexity in managing direct SS7 links,Reduced chances of error in routing decisions,Introduction of new signaling protocols,Elimination of the need for signaling networks,C,"pdf3, NGN, IMS AND SSTP (para 171)"
Understanding Financial Statements,What is the primary purpose of accounting in a business?,To generate profits,To measure and communicate business activities,To manage expenses,To audit financial statements,B,"pdf3, Understanding Financial Statements (para 177)"
Understanding Financial Statements,"What is the document that serves as evidence for a business transaction, such as the purchase of raw material?",Invoice,Voucher,Receipt,Ledger,B,"pdf3, Understanding Financial Statements (para 180)"
Understanding Financial Statements,Which concept implies that a business firm will continue to operate in the foreseeable future?,Money Measurement Concept,Business Entity Concept,Going Concern Concept,Cost Concept,C,"pdf3, Understanding Financial Statements (para 182)"
Understanding Financial Statements,"According to the dual aspect concept, what does every business transaction involve?",Single entry,Triple entry,Double entry,Quadruple entry,C,"pdf3, Understanding Financial Statements (para 184)"
Understanding Financial Statements,What does the Conservative Concept in accounting emphasize in relation to the Profit and Loss Account?,Anticipate all future profits,Recognize all probable future losses,Ignore future losses,Overestimate profits,B,"pdf3, Understanding Financial Statements (para 187)"
Understanding Financial Statements,What does the Accrual Concept require in terms of recognizing expenses and revenues?,Recognize only cash transactions,Recognize expenses and revenues when they are paid or received,Recognize expenses and revenues in the period they are incurred or earned,Ignore expenses in financial statements,C,"pdf3, Understanding Financial Statements (para 191)"
Understanding Financial Statements,"Which financial statement is a documented report of a company's assets, liabilities, and equity at a specific point in time?",Income Statement,Cash Flow Statement,Balance Sheet,Trial Balance,C,"pdf3, Understanding Financial Statements (para 194)"
Understanding Financial Statements,How are current assets typically listed on the balance sheet?,Alphabetically,In order of their liquidity,In order of their acquisition,Randomly,B,"pdf3, Understanding Financial Statements (para 198)"
Understanding Financial Statements,"What category of assets includes land, buildings, machinery, and equipment used in business operations over a relatively long period?",Current Assets,Intangible Assets,Plant Assets,Investments,C,"pdf3, Understanding Financial Statements (para 200)"
Understanding Financial Statements,What are debts that are not due until more than a year from the balance sheet date classified as?,Current Liabilities,Deferred Revenues,Long-Term Liabilities,Owner's Equity,C,"pdf3, Understanding Financial Statements (para 204)"
Understanding Financial Statements,What is the alternative title for the Balance Sheet that is considered acceptable in practice?,Income Statement,Statement of Financial Position,Cash Flow Statement,Profit and Loss Account,B,"pdf3, Understanding Financial Statements (para 207)"
Understanding Financial Statements,What should be included in the heading of a balance sheet according to the provided information?,Only the statement title,Legal name of the company and date of presentation,Comparative financial data,Future financial projections,B,"pdf3, Understanding Financial Statements (para 210)"
Understanding Financial Statements,"In the Account Form of balance sheet presentation, how are assets, liabilities, and stockholders' equity arranged?","Assets on the left, liabilities and stockholders' equity on the right","Assets at the top, liabilities and stockholders' equity at the bottom","Assets and liabilities on the left, stockholders' equity on the right","Assets and stockholders' equity on the left, liabilities on the right",A,"pdf3, Understanding Financial Statements (para 213)"
Understanding Financial Statements,What are the primary captions that should be included in a balance sheet?,"Revenue, Expenses, Profit","Assets, Liabilities, Equity","Income, Expenditure, Surplus","Debits, Credits, Net Income",B,"pdf3, Understanding Financial Statements (para 215)"
Understanding Financial Statements,"In the order of presentation of major assets, which item should come first?",Long-term investments,Inventories,Short-term marketable securities,Intangible assets,C,"pdf3, Understanding Financial Statements (para 218)"
Understanding Financial Statements,How are liabilities usually presented on a balance sheet in terms of order?,In alphabetical order,In order of liquidity,In order of materiality,In the order of maturity,D,"pdf3, Understanding Financial Statements (para 221)"
Understanding Financial Statements,What is the last component typically presented in the order of stockholders' equity on a balance sheet?,Common stock,Retained earnings,Preferred stock,Treasury stock,D,"pdf3, Understanding Financial Statements (para 225)"
Understanding Financial Statements,"When would the title ""Balance Sheets"" be more appropriate for a financial statement?",In a single-time period presentation,In a comparative presentation with multiple time periods,In a Cash Flow Statement,In an Income Statement,B,"pdf3, Understanding Financial Statements (para 229)"
Understanding Financial Statements,What is the purpose of captions in a balance sheet?,To summarize the entire financial history of the company,To designate major groups of accounts for totalling or subtotalling,To provide a detailed breakdown of each individual transaction,To list all financial transactions in chronological order,B,"pdf3, Understanding Financial Statements (para 232)"
Understanding Financial Statements,"In the Report Form of balance sheet presentation, where are assets typically listed?",At the bottom of the page,On the left-hand side,On the right-hand side,At the top of the page,D,"pdf3, Understanding Financial Statements (para 236)"
Understanding Financial Statements,Which of the following is considered a secondary caption on the balance sheet?,Assets,Liabilities,Current Assets,Stockholders' Equity,C,"pdf3, Understanding Financial Statements (para 238)"
Understanding Financial Statements,"According to the order of presentation of major assets, what comes after inventories?",Long-term investments,Property and equipment,Short-term marketable securities,Trade notes and accounts receivable,A,"pdf3, Understanding Financial Statements (para 242)"
Understanding Financial Statements,What is the purpose of presenting liabilities in the order of maturity on a balance sheet?,To emphasize short-term financial obligations,To facilitate ease of reading,To highlight long-term debt,To meet legal requirements,A,"pdf3, Understanding Financial Statements (para 246)"
Understanding Financial Statements,Which component is part of stockholders' equity and represents the amount invested directly by the owner?,Accumulated other comprehensive income,Common stock,Retained earnings,Additional paid-in capital,D,"pdf3, Understanding Financial Statements (para 248)"
Understanding Financial Statements,"In the context of balance sheet preparation, what does ""defer to future periods"" refer to?",Delaying the presentation of financial statements,Delaying the payment of current liabilities,Deferring the recognition of certain costs to future periods,Deferring the recognition of revenue to future periods,C,"pdf3, Understanding Financial Statements (para 252)"
Understanding Financial Statements,"When might the title ""Balance Sheets"" be used instead of ""Balance Sheet""?",In all situations,When comparing financial periods,When presenting a single financial period,In the absence of a comparative presentation,B,"pdf3, Understanding Financial Statements (para 256)"
Understanding Financial Statements,"In the Report Form of balance sheet presentation, how are the primary captions arranged?",In a running format with no specific order,"Liabilities, Assets, Stockholders' Equity","Assets, Liabilities, Stockholders' Equity","Stockholders' Equity, Liabilities, Assets",C,"pdf3, Understanding Financial Statements (para 260)"
Understanding Financial Statements,"What is the purpose of secondary captions like ""CURRENT ASSETS"" and ""CURRENT LIABILITIES"" on a balance sheet?",To confuse the readers,To highlight non-material items,To provide additional details on assets,To categorize items for better analysis,D,"pdf3, Understanding Financial Statements (para 262)"
Understanding Financial Statements,"In the order of presenting major assets, why are items like cash and short-term marketable securities placed first?",They are the least valuable assets,They are the easiest to convert into cash,They have the longest maturity period,They have the highest depreciation,B,"pdf3, Understanding Financial Statements (para 266)"
Understanding Financial Statements,What is the basis for presenting liabilities in the order of maturity on a balance sheet?,Alphabetical order,Materiality,Liquidity,Time to maturity,D,"pdf3, Understanding Financial Statements (para 270)"
Understanding Financial Statements,Which of the following is usually considered the last component of stockholders' equity on a balance sheet?,Additional paid-in capital,Accumulated other comprehensive income,Treasury stock,Retained earnings,C,"pdf3, Understanding Financial Statements (para 273)"
Understanding Financial Statements,What is the purpose of presenting assets and liabilities in a specific order on a balance sheet?,Compliance with legal requirements,To follow a standardized format,To confuse competitors,"No specific purpose, it's arbitrary",B,"pdf3, Understanding Financial Statements (para 277)"
Understanding Financial Statements,"What is the primary incentive for businesses, as mentioned in the introduction?",Employment opportunities,Social responsibility,Profit,Resource allocation,C,"pdf3, Understanding Financial Statements (para 280)"
Understanding Financial Statements,How is profit defined in the context of the Profit and Loss Account?,Revenue plus Costs,Revenue minus Costs,Revenue multiplied by Costs,Revenue divided by Costs,B,"pdf3, Understanding Financial Statements (para 283)"
Understanding Financial Statements,What is the other term commonly used for the Profit and Loss Account?,Balance Sheet,Income Statement,Cash Flow Statement,Statement of Financial Position,B,"pdf3, Understanding Financial Statements (para 286)"
Understanding Financial Statements,What is the main task of accounting in relation to profit?,Allocating resources,Monitoring and measuring profits,Managing risks,Recording financial data,B,"pdf3, Understanding Financial Statements (para 290)"
Understanding Financial Statements,"In the Profit & Loss Account, what is the first part called that records revenue and costs resulting from the business's trading activities?",Trading Account,Revenue Account,Cost Account,Gross Profit Account,A,"pdf3, Understanding Financial Statements (para 293)"
Understanding Financial Statements,What is the second part of the Profit & Loss Account that includes additional costs and revenues beyond trading activities?,Trading Account,Profit And Loss Account,Revenue Account,Appropriation Account,B,"pdf3, Understanding Financial Statements (para 296)"
Understanding Financial Statements,What is the third part of the Profit & Loss Account that shows how the profit is divided among different uses?,Trading Account,Profit And Loss Account,Appropriation Account,Revenue Account,C,"pdf3, Understanding Financial Statements (para 300)"
Understanding Financial Statements,What is the main use of the Profit and Loss Account?,Allocating resources,Monitoring and measuring profit,Creating a good impression for external parties,Recording financial data,B,"pdf3, Understanding Financial Statements (para 303)"
Understanding Financial Statements,"In what ways can profits be ""appropriated"" according to the Appropriation Account?",Only retained for future investment,Only returned to owners as dividends,"Retained for future investment, returned to owners, paid as tax",Only paid as tax,C,"pdf3, Understanding Financial Statements (para 306)"
Financial Statements Analysis,What is the primary purpose of financial statement analysis?,To provide a historical overview of a company's performance,To assess the firm's financial performance and aid decision-making,To generate future financial statements,To compare a company's performance with industry standards,B,"pdf3, Financial Statements Analysis (para 312)"
Financial Statements Analysis,Which of the following is not one of the financial statements typically found in annual reports?,Income Statement,Cash Flow Statement,Statement of Changes in Management,Balance Sheet,C,"pdf3, Financial Statements Analysis (para 315)"
Financial Statements Analysis,What does the balance sheet provide information about?,A company's revenue and expenses,The company's cash flows,"The value of the company's assets, liabilities, and equity on a specific date",The company's profitability,C,"pdf3, Financial Statements Analysis (para 318)"
Financial Statements Analysis,What is the conservative principle in the context of the balance sheet?,Prioritizing optimistic estimations of assets,Listing assets based on their market values,Prioritizing pessimistic estimations of assets,Ignoring liabilities in financial reporting,C,"pdf3, Financial Statements Analysis (para 321)"
Financial Statements Analysis,Which type of ratio helps assess a company's ability to meet its short-term obligations?,Profitability ratio,Liquidity ratio,Leverage ratio,Efficiency ratio,B,"pdf3, Financial Statements Analysis (para 323)"
Financial Statements Analysis,Who might perform financial analysis to decide whether to invest in a particular firm or extend credit?,Internal management,Shareholders,"Credit rating agencies, investors, and lenders",Employees,C,"pdf3, Financial Statements Analysis (para 325)"
Financial Statements Analysis,What is one of the limitations of ratio analysis?,Provides real-time information,Relies on historical data,Requires no interpretation,Is not affected by industry variations,B,"pdf3, Financial Statements Analysis (para 328)"
Financial Statements Analysis,Which financial statement is also known as the Statement of Financial Position?,Income Statement,Cash Flow Statement,Balance Sheet,Statement of Changes in Equity,C,"pdf3, Financial Statements Analysis (para 332)"
Financial Statements Analysis,What does the balance sheet primarily provide information about?,Revenue and expenses,Changes in equity,"Assets, liabilities, and equity on a specific date",Operational performance over a period,C,"pdf3, Financial Statements Analysis (para 337)"
Financial Statements Analysis,Which of the following is considered a tangible asset on the balance sheet?,Goodwill,Copyrights,Buildings,Patents,C,"pdf3, Financial Statements Analysis (para 340)"
Financial Statements Analysis,What are marketable securities on the balance sheet?,Fixed assets with long-term value,Securities that cannot be easily converted into cash,Liquid securities convertible into cash quickly,Intangible assets with market value,C,"pdf3, Financial Statements Analysis (para 342)"
Financial Statements Analysis,What does accounts payable represent on the balance sheet?,Money owed by other entities,Unpaid invoices or bills for goods/services,Expenses paid in cash,Accumulated interest on loans,B,"pdf3, Financial Statements Analysis (para 345)"
Financial Statements Analysis,What is shareholder equity also referred to as?,Net Income,Owner's or Stockholders' Equity,Retained Earnings,Current Liabilities,B,"pdf3, Financial Statements Analysis (para 348)"
Financial Statements Analysis,How is Net Worth calculated in the context of a firm's balance sheet?,Total assets minus total liabilities,Share capital plus retained earnings minus treasury shares,Current assets minus current liabilities,Market value of assets minus book value of liabilities,B,"pdf3, Financial Statements Analysis (para 351)"
Financial Statements Analysis,What is the significance of Book Value per Share?,It indicates the market capitalization of a company,It represents the amount shareholders would receive if the company were liquidated,It is the total value of the company's assets,It determines the level of safety associated with each individual share,B,"pdf3, Financial Statements Analysis (para 354)"
Financial Statements Analysis,How do assets (except land) account for their loss in value over time on the balance sheet?,Depletion,Amortization,Depreciation,Appreciation,C,"pdf3, Financial Statements Analysis (para 358)"
Financial Statements Analysis,What is the primary purpose of the Statement of Retained Earnings?,To explain changes in a company's assets over time,To detail changes in a company's liabilities,To summarize revenue and expenses for a certain period,To explain changes in a company's retained earnings over the reporting period,D,"pdf3, Financial Statements Analysis (para 362)"
Financial Statements Analysis,Where can the Statement of Retained Earnings be found in financial reporting?,In the Cash Flow Statement,As a separate schedule,In the Income Statement,In the Balance Sheet,B,"pdf3, Financial Statements Analysis (para 366)"
Financial Statements Analysis,What does the Cash Flow Statement show?,Changes in a company's assets over time,Changes in a company's liabilities over time,How cash was obtained and for what purposes it was used,The company's profitability over a certain period,C,"pdf3, Financial Statements Analysis (para 368)"
Financial Statements Analysis,What components are typically included in the Cash Flow Statement?,Net income and shareholder equity,"Net cash flow from operations, financing, and investing activities",Revenue and expenses,"Assets, liabilities, and equity",B,"pdf3, Financial Statements Analysis (para 371)"
Financial Statements Analysis,"What information is often included in the ""Notes to Financial Statements"" in an annual report?",Current ratio and quick ratio,Segment information and accounting practices,Interest coverage ratio and cash flow coverage ratio,Net income and shareholder equity,B,"pdf3, Financial Statements Analysis (para 374)"
Financial Statements Analysis,What is the significance of looking at the ratio of receivables to sales over several years?,It indicates the market capitalization of a company,It reflects the company's liquidity position,It reveals how quickly customers are paying for goods,It assesses the profitability of the core business,C,"pdf3, Financial Statements Analysis (para 377)"
Financial Statements Analysis,"In financial reporting, why is Cash Flow often considered a more reliable indicator of performance than earnings numbers?",Cash Flow is easier to manipulate,Cash Flow reflects the actual availability of cash,Earnings numbers are not relevant,Earnings numbers can be easily predicted,B,"pdf3, Financial Statements Analysis (para 380)"
Financial Statements Analysis,What does the current ratio measure in terms of a company's liquidity?,The ability to cover fixed interest charges,The firm's reliance on external debt for financing,The ability to meet short-term obligations,The proportion of total long-term capital from debt,C,"pdf3, Financial Statements Analysis (para 384)"
Financial Statements Analysis,What does the Sales Growth Rate measure?,The rate of change in total assets,The rate of change in shareholder equity,The rate of change in sales over a period,The rate of change in liabilities,C,"pdf3, Financial Statements Analysis (para 389)"
Financial Statements Analysis,What is the Sustainable Growth Rate (SGR)?,The maximum rate a company can grow revenue without new equity capital,The rate at which a company can grow indefinitely,The growth rate achievable through external financing only,The growth rate achievable without any debt financing,A,"pdf3, Financial Statements Analysis (para 391)"
Financial Statements Analysis,What does the Inventory Turnover Ratio indicate?,The efficiency of managing accounts receivable,The efficiency of managing inventories by minimizing investment,The efficiency of managing accounts payable,The efficiency of managing long-term debt,B,"pdf3, Financial Statements Analysis (para 394)"
Financial Statements Analysis,How is the Days in Inventory Ratio calculated?,(Average Inventory/Cost of Sales) x 365,(Cost of Goods Sold/Average Inventory) x 365,(Accounts Receivable/Net Sales) x 365,(Net Sales/Total Assets) x 365,A,"pdf3, Financial Statements Analysis (para 397)"
Financial Statements Analysis,What does the Assets Turnover Ratio reveal?,The company's reliance on external debt,How much sales the firm is generating for every rupee of investment in assets,The ability to cover fixed interest charges,The efficiency in collections from credit sales,B,"pdf3, Financial Statements Analysis (para 400)"
Financial Statements Analysis,Which ratio reflects the firm's efficiency in making payments?,Accounts Receivable Turnover Ratio,Inventory Turnover Ratio,Accounts Payable Turnover Ratio,Asset-Equity Ratio,C,"pdf3, Financial Statements Analysis (para 403)"
Financial Statements Analysis,What is the purpose of the Earnings per Share (EPS) ratio?,To measure the efficiency of assets management,To assess the efficiency of debt management,To indicate earnings generated per share,To evaluate the efficiency of inventory turnover,C,"pdf3, Financial Statements Analysis (para 406)"
Financial Statements Analysis,What does the Price-Earnings (P/E) Ratio indicate?,The market value per share,The company's liquidity position,The company's profitability,The market's expectation of future earnings growth,D,"pdf3, Financial Statements Analysis (para 409)"
