category,type,question,answer,source
Service Quality & Service Operation,statement,consistency (reliability) is a dimension of service quality,,"pdf2 (xlsx), row 125"
General / Unclassified,flashcard,In maturity stage of PLC marketing objective is,Maintain brand loyalty,"pdf2 (xlsx), row 127"
Competitive Marketing Strategy,statement,"A generic model used to develop marketing strategy is known as STP or segmentation, targeting and Positioning.",,"pdf2 (xlsx), row 128"
General / Unclassified,statement,SWOT full form,,"pdf2 (xlsx), row 129"
Pricing of Telecom Services,statement,Product Bundle Pricing:Here sellers combine several products in the same package.,,"pdf2 (xlsx), row 132"
General / Unclassified,statement,"Brand extension, also known as brand stretching, is a marketing strategy where a company uses its existing brand name to launch a new product or modified product in a new category.",,"pdf2 (xlsx), row 133"
General / Unclassified,statement,recipient operator can collect a lesser amount from subscriber making a porting request,,"pdf2 (xlsx), row 134"
General / Unclassified,flashcard,Hearing is a first step of listening process.,Also stop talking,"pdf2 (xlsx), row 136"
Listening & Feedback,statement,Feedback is most effective when there is as little gap or no gap as possible between the recipient and the receipt of the feedback:,,"pdf2 (xlsx), row 139"
Industry Driven Transformation,statement,"Digital transformation- Forecast disruption, monetize data , team building,partnering",,"pdf2 (xlsx), row 140"
Contract Act & Arbitration/Conciliation,statement,"If promisee prevents promisor from performing his promise, the contract becomes voidable at the option of the promisor and he is entitled to compensation from the other party",,"pdf2 (xlsx), row 143"
Contract Act & Arbitration/Conciliation,statement,The settlement agreement shall have the same status and effect as if it is an arbitral award,,"pdf2 (xlsx), row 144"
Project Vijay,flashcard,Project Vijay,Channel partner network,"pdf2 (xlsx), row 145"
Managing Growth through Outsourcing,statement,three levels of outsourcing: 1. Project level: Discrete aspects of a project are outsourced 2. Program level: Different projects in a program are outsourced 3. Division level: The entire operation of a division is outsourced,,"pdf2 (xlsx), row 146"
General / Unclassified,statement,Labour issues are solved in labour courts,,"pdf2 (xlsx), row 147"
General / Unclassified,flashcard,_ was established as an agency of league of nations following treaty of versailles,ILO,"pdf2 (xlsx), row 149"
Contract Act & Arbitration/Conciliation,statement,"Where the order in which reciprocal promises are to be performed is is not expressly fixed by the contract, they shall be performed in that order which the nature of transaction requires.",,"pdf2 (xlsx), row 150"
General / Unclassified,statement,kiosk an example of Retailing (consists of the sale of goods or merchandise from a fixed location),,"pdf2 (xlsx), row 151"
Service Quality & Service Operation,statement,Technical quality refers to outcome of service consumption process whereas functional quality refers to how service was delivered,,"pdf2 (xlsx), row 152"
General / Unclassified,statement,"Responsiveness is time taken to respond to customer needs, less the better",,"pdf2 (xlsx), row 154"
General / Unclassified,flashcard,VSAT connectivity works in which topology,"Any topology (Bus,star,mesh)","pdf2 (xlsx), row 155"
Sales Management,statement,"Enterprise sales is big ticket, big value",,"pdf2 (xlsx), row 156"
Sales Management,statement,Closing Ratio: The closing ratio measures the number of closed sales made against the outstanding proposals,,"pdf2 (xlsx), row 157"
Marketing Promotions,statement,Personal Selling is direct communication with potential buyers of a product,,"pdf2 (xlsx), row 159"
Launching a New Product,flashcard,5 stages in product development,"Development, intr, growth, maturity, decline","pdf2 (xlsx), row 160"
General / Unclassified,statement,"In growth stage of PLC, Distribution/outlets are more, max in maturity and fewer in decline",,"pdf2 (xlsx), row 161"
Linkages of Marketing to Corporate Strategy,statement,"Strategy narrowly defined, means ""the art of the general"" (from Greek strategies).",,"pdf2 (xlsx), row 162"
Conflict Resolution & Management,statement,Conflict is inevitable,,"pdf2 (xlsx), row 164"
General / Unclassified,statement,Using I statements in conflict resolution when you want to take ownership of your feelings/thoughts.,,"pdf2 (xlsx), row 165"
General / Unclassified,statement,Market situation for a product/service is defined as Product life cycle.,,"pdf2 (xlsx), row 166"
Industry Driven Transformation,statement,"technologies – mobile, cloud, artificial intelligence, sensors and analytics, among others – are accelerating progress exponentially.",,"pdf2 (xlsx), row 167"
General / Unclassified,statement,We think at a rate of 600-800 words per minute and speak at a rate of only 125-150 words per minute,,"pdf2 (xlsx), row 168"
General / Unclassified,statement,"Franchising : Franchising involves the transfer of a business concept, with corresponding operational guidelines, to non-domestic parties for a fee.",,"pdf2 (xlsx), row 170"
Marketing Promotions,statement,"The first step in developing an advertising program should be to set advertising objectives.After determining its advertising objectives, a company next sets its Advertising budgetfor each product.",,"pdf2 (xlsx), row 171"
Marketing Promotions,statement,Consumer Sales promotions include variety of short term or long term incentives,,"pdf2 (xlsx), row 172"
General / Unclassified,statement,"The Universal Service Obligation (USO) Fund is headed by the Administrator, USF",,"pdf2 (xlsx), row 173"
General / Unclassified,flashcard,Which is not a major element in strategic management,Administrative tasks,"pdf2 (xlsx), row 174"
Managing Growth through Outsourcing,flashcard,The company that chooses to outsource some of its work is,Customer,"pdf2 (xlsx), row 175"
Labour Act & Workman Compensation Act,flashcard,Legal remedy can be exercised only up to certain period and not subsequently,"THE LIMITATION ACT, 1963","pdf2 (xlsx), row 176"
General / Unclassified,flashcard,personal selling is used extensively in,complex and technical products.,"pdf2 (xlsx), row 178"
Sales Management,statement,Enterprise sales is B2B .,,"pdf2 (xlsx), row 179"
General / Unclassified,flashcard,which of the following strategies is usually followed by B2C companies with respect to promotion strategy,"Push: A strategy that involves promoting a product directly to consumers, such as through trade shows or direct selling.","pdf2 (xlsx), row 181"
General / Unclassified,statement,Bandwidth of data channel in PRI is 64 kbps,,"pdf2 (xlsx), row 183"
Labour Act & Workman Compensation Act,flashcard,Limitation Act 1963 Section 3 – Bar of Limitation: -,"Every suit instituted, appeal, and application made after the prescribed period, shall be dismissed.","pdf2 (xlsx), row 184"
General / Unclassified,statement,The allocation methods are based on common cost,,"pdf2 (xlsx), row 189"
General / Unclassified,flashcard,"Under this, the price is set on the basis of managerial decisions and not on the basis of cost, demand, competition etc is",Administered Price,"pdf2 (xlsx), row 192"
General / Unclassified,flashcard,"In the decline stage of PLC, the objective of promotion efforts are",Minimal promotion,"pdf2 (xlsx), row 193"
General / Unclassified,statement,Placating response is which type of conflict,,"pdf2 (xlsx), row 198"
