category,question,choice_a,choice_b,choice_c,choice_d,answer,source
"Capability, Attitude & Motivation",According to Maslow Hierarchy of needs theory which are higher level need. 1.Love 2. Esteem 3. Self actualization 4. Hunger,"1,2,4","1,3,4","1,2,3","2,3,4",C,"pdf1, Q24 (PDF page 3)"
General / Unclassified,Following statements are correct with respect to WINGS . 1. No fixed monthly charge 2. No installation and activation charges .3. Call charges free to any network for one year in India,"1,2 and 3",1 and 2,2 and 3,1 and 3,A,"pdf1, Q25 (PDF page 3)"
Industry Driven Transformation,Which one is not correct for a company digital transforming,Your brand : remains customer –centric,Workers: Become problem creator,Product: Become information streams enabling transparency and traceability across the design –to dispose life cycle,Physical asset: become information appliance that are self-aware and increasingly autonomous,B,"pdf1, Q27 (PDF page 3)"
General / Unclassified,"According to Supreme Court definition ,sexually harassment is _____",Any unwelcome sexually determined behavior,Talking to subordinate,Assign the work to subordinates,Help to Subordinate,A,"pdf1, Q28 (PDF page 3)"
General / Unclassified,"According to CM Sales and distribution Policy 2018 ,retailer in rural area is appointed by",Franchisee,Rural distributer,SSA Head,Circle,B,"pdf1, Q29 (PDF page 4)"
General / Unclassified,The RTI Act gives right to seek information from the following,pvt companies,MNCS,public authorities,Associations,C,"pdf1, Q31 (PDF page 4)"
General / Unclassified,Who receives applications under the RTI Act 2005,Public information officer at the administrative level(CPIO),"Assistant Public information officer at the sub district ,sub divisional levels",Any officer of a public authority who is available in the Authority’s office when application is made,Only (a) and (b),D,"pdf1, Q35 (PDF page 4)"
General / Unclassified,Who is Appellate authority for major penalty to JTO(T)?,DE,DGM,GM or GM equivalent,CGM or CGM equivalent,D,"pdf1, Q36 (PDF page 4)"
General / Unclassified,Which one is the main feature of Vishakha guidelines,Definition of sexual harassment and provide a safer working environment for women employees,women empowerment,Provide a safer working environment for men employees,None of above,A,"pdf1, Q37 (PDF page 4)"
"Capability, Attitude & Motivation",". Objectives of communication are 1. Information,2. Advice3.Attitude 4. Education","1,2and 3","2,3and 4","1,3and 4","1,2and 4",D,"pdf1, Q38 (PDF page 4)"
General / Unclassified,Ego sates referred in transactional analysis included 1. Chils 2. Parents 3. Adult 4. Sibling,"1,2, 3","2,3,4","1,3,4","1,2,4",A,"pdf1, Q39 (PDF page 5)"
Listening & Feedback,manager should make use of _ statements while giving feedback,I statement,Y statement,w statement,O statement,A,"pdf2 (xlsx), row 2"
Listening & Feedback,effective feedback is,specific,non specific,general,personal,A,"pdf2 (xlsx), row 3"
Listening & Feedback,_ means to impart understanding of the message,Encoding,Receiver,Feedback,Decoding,D,"pdf2 (xlsx), row 4"
"Capability, Attitude & Motivation",I will never do business with them again is _ components of attitude,Affective component,cognitive component,intentional component,none of the above,A,"pdf2 (xlsx), row 5"
Project Kuber & Enterprise Structure,in Phase 1 of project Shikhar the initiative focusing on fuel cost saving has been nicknamed as,project sanchay,project Dosti,project Kuber,project Udan,A,"pdf2 (xlsx), row 7"
Competitive Marketing Strategy,large scale future oriented plans for interacting with competitive environment to achieve company objectives refers to,strategy,goals,competitive analysis,dynamic policies,A,"pdf2 (xlsx), row 8"
General / Unclassified,– is a group of people working together to achieve the objective of sales,sales force,sales organisation,sales team,Marketing department,B,"pdf2 (xlsx), row 9"
General / Unclassified,The process that turns marketing strategies and plans into marketing actions is called,marketing strategy,marketing control,marketing analysis,marketing implementation,D,"pdf2 (xlsx), row 10"
Competitive Marketing Strategy,services marketing can be considered to have – P's,4,5,6,7,D,"pdf2 (xlsx), row 11"
General / Unclassified,there are _ positioning strategies that can be pursued,6,7,5,4,B,"pdf2 (xlsx), row 12"
General / Unclassified,which of the following is an issue considered in developing corporate strategies,what businesses are we in,what direction are we going,what's resources do we have to implement our strategies,what businesses are we in and what to do with these businesses,D,"pdf2 (xlsx), row 13"
Competitive Marketing Strategy,large scale future oriented plans for interacting with company competitive environment of company objective reports to its,strategy,goals,compatitive analysis,dynamic policies,A,"pdf2 (xlsx), row 14"
Industry Driven Transformation,there are a number of areas that many companies will need to reaches and Reform if they are to become digital Enterprises these areas can be except,digital Business models,digital operating models,digital focusing models,digital talent and skills,C,"pdf2 (xlsx), row 15"
General / Unclassified,agency of United Nations with deals with International Labour standards and providing social protection and Justice,International Corporation of law,International Law organisation,International workforce recruiter,International Labour Organisation,D,"pdf2 (xlsx), row 16"
Contract Act & Arbitration/Conciliation,if Claimant fails to communicate his statement of claim arbitrator shall___ the arbitration process,continue,terminate,with hold,prepare suchstatement himself,B,"pdf2 (xlsx), row 17"
General / Unclassified,compensation for which type of loss or damage caused by breach of contract is covered under section 73,indirect loss,remote loss,direct loss,all of the above,C,"pdf2 (xlsx), row 18"
Contract Act & Arbitration/Conciliation,"in relation to any arbitration proceedings, the court or arbitral Tribunal shell have the discretion to determine",whether costs are payable by one party to another,amount of such cost,both A and B,either A or B,C,"pdf2 (xlsx), row 19"
General / Unclassified,the share of BSNL sales in total sales of a particular multi brand Telecom outlet is called,sales,extraction,reach,,B,"pdf2 (xlsx), row 20"
Conflict Resolution & Management,which is most important part of workplace conflict,listen,address,collaborate,compromise,A,"pdf2 (xlsx), row 21"
Conflict Resolution & Management,which is not a part of interpersonal conflict management,identify,kept aside,act upon,discuss,B,"pdf2 (xlsx), row 22"
Conflict Resolution & Management,interpersonal conflict in which no participants aware of the divergence of goals needs or interest is known as,latent conflict,False conflict,cause of action,none of the given options,A,"pdf2 (xlsx), row 23"
General / Unclassified,advertising is considered as a ______ form of communication,personal,non personal,interpersonal,intra personal,B,"pdf2 (xlsx), row 24"
General / Unclassified,headquarters of International Labour Organisation is located in,Geneva,Rome,Paris,Tokyo,A,"pdf2 (xlsx), row 25"
Contract Act & Arbitration/Conciliation,"after receipt of arbitration award, application for setting aside the arbitration award may be filed not later than",6 months,3 months,2 months,30 days,B,"pdf2 (xlsx), row 26"
Contract Act & Arbitration/Conciliation,an agreement enforceable by law is,contract,performance agreement,void agreement,none of the above,A,"pdf2 (xlsx), row 27"
Conflict Resolution & Management,conflict causes predictable and destructive changes in the disputants attitude,perceived conflicts,real conflict,escalating conflict,data type conflict,C,"pdf2 (xlsx), row 28"
Conflict Resolution & Management,which of the following is the tactic of avoiding conflict,competing,stone walling,autonomy,compromising,B,"pdf2 (xlsx), row 29"
Marketing Promotions,_____ is well suited to highly targeted marketing efforts and to building 1 to 1 relationship,advertising,public relation,sales promotion,direct marketing,D,"pdf2 (xlsx), row 30"
Pricing of Telecom Services,_______ is the most common method used for pricing,cost Plus pricing,target pricing,breakeven,marginal,A,"pdf2 (xlsx), row 31"
Listening & Feedback,Listening and feedback are the two Essentials for ____Communications,interpersonal,intrapersonal,corporate,nonverbal,A,"pdf2 (xlsx), row 32"
General / Unclassified,which of these is not a deterrant to listening process,lack of interest,ego,confidence,fear,C,"pdf2 (xlsx), row 33"
General / Unclassified,"believes, attitudes, traditions and Expectations which are shared by group are",group norms,group communication,group cohesiveness,group structure,A,"pdf2 (xlsx), row 34"
"Capability, Attitude & Motivation",the characteristics of a company which cannot be replicated by competitors are,distinctive capabilities,special ability,reproducable capabilities,strong capabilities,A,"pdf2 (xlsx), row 35"
"Capability, Attitude & Motivation",which of the following three factors affect an employee motivation,"attitude, interest and needs",attitude interest and salary,attitude interest and working conditions,attitude needs and interest,A,"pdf2 (xlsx), row 36"
Competitive Marketing Strategy,in the STP which is the generic model used to develop marketing strategy P means,planning,pricing,positioning,product,C,"pdf2 (xlsx), row 37"
General / Unclassified,there are standard ____ P's are applicable for products,3,4,5,7,B,"pdf2 (xlsx), row 38"
General / Unclassified,Diversification is best described as which of the following,existing products in New Market,existing products in existing market,new products for new markets,new products for existing market,C,"pdf2 (xlsx), row 39"
General / Unclassified,first step in problem solving process is to,define the problem,generates solutions,analyse the problem,determine the goals,A,"pdf2 (xlsx), row 40"
Marketing Promotions,Which promotional mix has short term incentives offered to the customer to buy the product is known as,publicity,advertisement,media,sales promotion,D,"pdf2 (xlsx), row 41"
General / Unclassified,__ give the recipient operator an opportunity to acquire more subscribers,mobile number portability,competitor,opponent,all of the above,A,"pdf2 (xlsx), row 42"
General / Unclassified,"under ___ marketing strategy, market segments are identified and different marketing mix is developed for each segment",differentiated,focus,customised,none of these,A,"pdf2 (xlsx), row 43"
General / Unclassified,vision is,long term dream and aspiration,path to realize the aspiration,targeted levels of performance,the art of the general,A,"pdf2 (xlsx), row 44"
Competitive Marketing Strategy,new entrance to an industry are more likely when (i.e.entry barriers are low when),it is difficult to gain access to distribution channels,economies of scale in the industry are high,product differentiation in the industry is low,capital requirements in the industry are high,C,"pdf2 (xlsx), row 45"
Pricing of Telecom Services,Target pricing is also known as,value pricing,International pricing,geographical pricing,rate of return price,D,"pdf2 (xlsx), row 46"
General / Unclassified,Regulatory authorities have considered a number of criteria for Telecom tariff incorporating several _____,operators,regulatory laws,customers,objectives,D,"pdf2 (xlsx), row 47"
General / Unclassified,telecommunication tariff orders amended by,TRAI,TDSAT,,,A,"pdf2 (xlsx), row 48"
Marketing Promotions,broadly 4 variables are used to create marketing promotions except which one of the following,product demand,publicity,personal selling,sales promotion,A,"pdf2 (xlsx), row 49"
Marketing Promotions,which tool of the promotional mix consists of short term incentives to encourage the purchase or sale of a product,advertising,Public Relations,direct marketing,sales promotion,D,"pdf2 (xlsx), row 50"
General / Unclassified,marketing funnel has ____ as its input and output as ____,"target market, leads","leads, target market","lead, customer","customer, lead",A,"pdf2 (xlsx), row 51"
Sales Management,this ratio measures the number of proposals presented against the number of viable products you have identified in sales cycle,lead conversion ratio qualification ratio,qualification ratio,proposal ratio,closing ratio,C,"pdf2 (xlsx), row 52"
General / Unclassified,many products benefits from customers being shown how products are used through a,exhibition,shows,,,B,"pdf2 (xlsx), row 53"
"Capability, Attitude & Motivation",when resolving problems between two employees the manager should,base all decisions on the employees attitude,remember that differences exist between employees personalities,make your decision based on employees behaviour,stall for time because time fixes everything,B,"pdf2 (xlsx), row 54"
General / Unclassified,what is organisation development,a change process,the training function,things done to better an organization,employee welfare program,A,"pdf2 (xlsx), row 55"
General / Unclassified,"according to expectancy theory, popularity, recognition contract with people freedom of Expression",dominating personality,influencing personality,steady personality,careful personality,B,"pdf2 (xlsx), row 56"
Conflict Resolution & Management,which is not part of conflict management,form,storm,norm,transform,D,"pdf2 (xlsx), row 57"
General / Unclassified,which of the following is not a characteristic of conflict,Expressed struggle,Independent parties,perceived incompatible goals,perceived interference for outside parties,B,"pdf2 (xlsx), row 58"
General / Unclassified,maximum bandwid which can be provided by ILL is,10 MBPS,155 MBPS,256 MBPS,100 MBPS,B,"pdf2 (xlsx), row 59"
Managing Growth through Outsourcing,Outsourcing mode when Outsourcing to a vendor that is located at a destination domestic to the customer is called,offshoring,onshoring,near shoring,home Sourcing,B,"pdf2 (xlsx), row 60"
Labour Act & Workman Compensation Act,"while working at the construction of a multi storeyed building of a company a worker employed by the contractor, supplied by petty contractor met an accident and became temporary disabled.For paying compensation to the worker who is responsible",the contractor who employed the worker,the petty contractor who supplied the worker,both A and B,none of the above,A,"pdf2 (xlsx), row 61"
Labour Act & Workman Compensation Act,in the workmans compensation act 1923 which section covers compensation to be deposited with the Commissioner,section 3,4,6,8,D,"pdf2 (xlsx), row 62"
General / Unclassified,which of these occur because of difference in language,physical barriers,linguistic barriers,cultural barriers,speech decoding,B,"pdf2 (xlsx), row 63"
"Capability, Attitude & Motivation",a learned predisposition to respond in a consistently favourable or unfavourable manner with respect to given object,perception,attitude,behaviour,personality,B,"pdf2 (xlsx), row 64"
"Capability, Attitude & Motivation","the freedom to act, make decisions and challenge one self to be more creative fits which of Maslow's hierarchy of need",social need,security needs,basic needs,self fullfilment need,D,"pdf2 (xlsx), row 65"
Marketing Promotions,which of the following statements is not true,promotional marketing is a business marketing strategy design to stimulate a customer to take action towards the buying decision,push and pull strategies are below the line promotion strategy,consumer market direct is not a method of sales promotion,public relation are any purposeful communication between an organisation and its public that aim to generate Goodwill,C,"pdf2 (xlsx), row 66"
General / Unclassified,when the advertisement is to create an image or reputation of the firm it is called _______advertising,institutional,advocacy,comparative,none of these,A,"pdf2 (xlsx), row 67"
General / Unclassified,the inner urge that prompts a person to buy a product is known as,buying motive,inspiration,influence,Desire,A,"pdf2 (xlsx), row 68"
General / Unclassified,what is correct for enterprise sale,buyer goes to seller,big volume small margin,"small volume , big margin",small volume mass selling,C,"pdf2 (xlsx), row 69"
Pricing of Telecom Services,ending prices with 99 P is called,price lining,Prestige pricing,odd even pricing,skimming,C,"pdf2 (xlsx), row 72"
General / Unclassified,video conferencing service allowed ____ participants to converse with each end point or __PCs,2,10,multiple,none of the above,C,"pdf2 (xlsx), row 73"
General / Unclassified,credit to the Universal Service obligation fund shall be through ____ approvals,UNESCO,Uno,parliamentary,statutory,C,"pdf2 (xlsx), row 74"
General / Unclassified,last step in marketing strategy for bringing a new product,roll out campaign,test your concept and marketing approach,know the products life cycle,define your marketing strategy and tactic,C,"pdf2 (xlsx), row 75"
General / Unclassified,Outsourcing in market,exporting,importing,a firm having someone else todo part of what it previously did itself,building a factory in another country to produce for that country's market,C,"pdf2 (xlsx), row 76"
Labour Act & Workman Compensation Act,Under workmen compensation act 1923 which of the following are considered as dependent of the deceased compensation i)a minor brother or an unmarried sister orii) a widow sister iii)widowed daughter in law son iv) a minor child of a pre deceased daughter when no parent of is alive v) paternal grandparent if no parent is alive,"I,ii,v","I,ii,iii,iv","I,ii,iii,v","I,ii,iii,iv,v",D,"pdf2 (xlsx), row 77"
Labour Act & Workman Compensation Act,in the workman compensation act 1923 factor for working out lump sum equivalent of compensation amount and death corresponding to completed years of age on,next birthday,last birthday,second last birthday,current birthday,B,"pdf2 (xlsx), row 78"
General / Unclassified,product physical dimensions include,form,features,design,all of the above,D,"pdf2 (xlsx), row 79"
Service Quality & Service Operation,as per service quality model the capacity to complete the promised service dependably and accurately,responsiveness,reliability,Assurance,empathy,B,"pdf2 (xlsx), row 80"
Service Quality & Service Operation,what are five principle dimensions to judge service quality,reliability responsiveness Assurance empathy tangibles,reliability response Assurance empathy tangible,reliability responsiveness Assurance empathy target,reliability responsiveness aspects empathy tangibles,A,"pdf2 (xlsx), row 81"
General / Unclassified,BSNL epabx revenue sharing with manufacturers,80 20,60 40,70 30,50 50,A,"pdf2 (xlsx), row 82"
Linkages of Marketing to Corporate Strategy,an organisation strategy,remains set in place longer than mission and objective,generally forms over period of time as events unfold,tends to be formed at the same time the mission is developed and objectives are formulated,is usually conceived at a single time when managers sit down and work out a comprehensive strategic plan for the next 3 to 5 years,B,"pdf2 (xlsx), row 83"
General / Unclassified,the various organisation routines and processes that determine how efficiently and effectively the organisation transform its inputs into outputs are called,strength,core competencies,capability,customer value,B,"pdf2 (xlsx), row 84"
General / Unclassified,what is meant by the term stakeholder,a person who is not related with the business,a person who is related with the business,a person who owns a business,a person who purchases the shares of a business,B,"pdf2 (xlsx), row 85"
Pricing of Telecom Services,when there is large potential market for a product the firm will adopt,skimming price policy,penetration price policy,premium price policy,none of these,B,"pdf2 (xlsx), row 86"
Industry Driven Transformation,to lay the foundation for Digital industry platform and ecosystems Organisation should identify potential Digital scenarios in these categories a) existing business partners becoming digital partners b)new digital partners within the industry c) new digital partners outside your industry,only A and B,only a and c,only B and C,all of the above,D,"pdf2 (xlsx), row 87"
Listening & Feedback,why is active listening a two way street,because if you listen to others you can force them to listen to you,because both the listener and the speaker give and received something,because it means you are walking and being active while you listen,because two people are saying the same thing at the same time,B,"pdf2 (xlsx), row 88"
Conflict Resolution & Management,which phase of the conflict process is associated with frustration awareness,aftermaths,source,middle,beginning,D,"pdf2 (xlsx), row 89"
Marketing Promotions,which of the following promotional forms is often described as being too impersonal and only a one way communication form,advertising,personal selling,public relation,sales promotion,A,"pdf2 (xlsx), row 90"
Industry Driven Transformation,Which of the following industry Digital initiatives were identified in Phase-1 of DTI project,"Health, automotive","Electricity, Health","Consumer, Logistics",All of above,D,"pdf2 (xlsx), row 101"
General / Unclassified,According to _ theory employees love Work as play or rest,X,Y,Z,None,B,"pdf2 (xlsx), row 106"
General / Unclassified,Labour law is the,Administrative,Rulings,Precedent,All,D,"pdf2 (xlsx), row 110"
Labour Act & Workman Compensation Act,Two broad categories of labour law,"Collective labour law which deals with triparte relation between employer, employee and union",Individual; labour law deals with individual's right at work place through contract,both A and B,,C,"pdf2 (xlsx), row 111"
Contract Act & Arbitration/Conciliation,An Arbitral award,shall be in writing and shall be signed by Arbitrator/Arbitrators.,The Arbitral award shall state date and place of Arbitration and award deemed to have been made at that place.,Arbitral award shall state the reasons upon which it is based unless it is on agreed terms or parties have agreed that no reasons are to be given.,All,D,"pdf2 (xlsx), row 112"
Sales Management,Responsibility of sales manager,Sales management,Distribution,marketing analysis,Both A&B,A,"pdf2 (xlsx), row 117"
Launching a New Product,introduction of new product in market is called,test mktg,new product development,experimemting,commercialization,D,"pdf2 (xlsx), row 119"
Service Quality & Service Operation,Which service provider gap can be closed by marketing function alone,Gap1,Gap2,Gap3,Gap4,A,"pdf2 (xlsx), row 122"
General / Unclassified,Outsourcing is used by an organisation in the interest of,Redirecting or conserving energy directed at the competencies of a particular business,"Making more efficient use of worldwide labour, capital, technology and resources",,,A,"pdf2 (xlsx), row 126"
General / Unclassified,Which one of the following is not a primary task of strategic managers?,Establishing strategic objectives,Developing the steps to follow in implementing operational level plans,Defining the business and developing a mission,Developing a strategy,B,"pdf2 (xlsx), row 130"
General / Unclassified,"Costs are a basis for charging _________ prices during peak periods, which is known as peak load pricing",Higher,Special,,,A,"pdf2 (xlsx), row 135"
Listening & Feedback,Which is not a barrier to listening,physical barriers,Cultural,Linguistic,written,D,"pdf2 (xlsx), row 137"
General / Unclassified,Physical and material resources of an organization are the tangible assets used to operate a business,"machine, raw material, building and supplies","money ,",database,design,A,"pdf2 (xlsx), row 138"
Project Kuber & Enterprise Structure,Which of the following is a step under Project Kuber,1. Identification of outstanding accounts and segmentation,2. Selection of collection agencies and allocation of outstanding accounts,3. Creation of internal teams and systems,All,D,"pdf2 (xlsx), row 141"
General / Unclassified,"Amon,Amway & Tupperware use",Direct marketing,Intensive marketing,Indirect distribution,Exclusive distribution,A,"pdf2 (xlsx), row 142"
General / Unclassified,Employment laws deal with,Employment contracts,Issues regarding employment,Workplace discrimination,All,D,"pdf2 (xlsx), row 148"
Marketing Promotions,Which is not method for trade sales promotion?,Point of purchase display,advertising support programs,Sampling & free trials,sales Incentives or push money,C,"pdf2 (xlsx), row 158"
General / Unclassified,Last step of listening process,Hearing,Understanding,Evaluating,Responding,D,"pdf2 (xlsx), row 169"
Marketing Promotions,Which is true for personal selling,"It occurs where an individual salesperson sells a product, service or solution to a client.",Salespeople match the benefits of their offering to the specific needs of a client.,both A and B,,C,"pdf2 (xlsx), row 177"
Conflict Resolution & Management,"A conflict situation in which the disputants believe that when one disputant helps him/herself , the other disputant is also helped___________",Constructive,Competitive,Destructive,Cooperative,D,"pdf2 (xlsx), row 180"
General / Unclassified,______ is a financial plan depicting how resources should be allocated to achieve the forecasted sales,Sales budget,Sales audit,Sales control,Sales P&L plan,A,"pdf2 (xlsx), row 182"
General / Unclassified,"in industries , it is important for the _____________ to concentrate in the areas of harmony",Employers,Public,Committee,Government,D,"pdf2 (xlsx), row 185"
Marketing Promotions,Promotions that are aimed at intermediary in the distribution channel are known as _________promotions,Trade,Sales,Sales force,,A,"pdf2 (xlsx), row 186"
Marketing Promotions,A “push” promotional strategy makes use of a company's sales force and trade promotion activities,to create consumer demand for a product.,Increase the visibility of products in outlets,,,A,"pdf2 (xlsx), row 187"
Linkages of Marketing to Corporate Strategy,Which of the following defines how each individual business unit will attempt to achieve its mission,Business strategy,Corporate strategy,Fuctional,National,A,"pdf2 (xlsx), row 188"
General / Unclassified,The task of strategy choice involves,A. developing plans and activities which will improve the organisation’s performance and competitive position,B. determining how the organisation can be more market and efficiency oriented,C. monitoring whether the organisation is achieving good financial performance,D. keeping the organisation free of debt,A,"pdf2 (xlsx), row 191"
General / Unclassified,The basic building blocks of an organization are,groups (teams),Individual,Management,Leader,A,"pdf2 (xlsx), row 194"
Conflict Resolution & Management,Which conflict management style uses other-oriented strategies like separating the people from the problem,collaboration,confrontational,settlement,non-confrontational,A,"pdf2 (xlsx), row 195"
General / Unclassified,What is Distinctive capabilities of an organisation,Effective leadership,Marketing strategy,Advertising campaign,Promotional activity,A,"pdf2 (xlsx), row 196"
Labour Act & Workman Compensation Act,Legal remedy can be exercisedonly upto certain period and not afterwards,Time barred Act 2010,Limitation Act 1963,Contract Act 1872,Legal remedy Act,B,"pdf2 (xlsx), row 197"
